"","Year","Area","Street","Street.2"
"143",2011,"","Oakhill Road  Acocks Green"," Oakhill Road, Acocks Green"
"144",2011,"","Opp white hart lane cooks lane","Opp white hart lane cooks lane"
"145",2011,"","Opposite  ALDI  Stratford Road"," Opposite, ALDI, Stratford Road"
"146",2011,"","Outside Java lounge Alcester Road","Outside Java lounge Alcester Road"
"147",2011,"","Outside O2 Academy Night Club B ham City Centre","Outside O2 Academy Night Club B'ham City Centre"
"148",2011,"","outside raven public house","outside raven public house"
"149",2011,"","Packington Avenue  Shard End"," Packington Avenue, Shard End"
"150",2011,"","park off hob moor Road","park off hob moor Road"
"151",2011,"","Parkhall Croft","Parkhall Croft"
"152",2011,"","Pear Tree PH","Pear Tree PH"
"153",2011,"","Police station","Police station"
"154",2011,"","Police Station Stechford","Police Station Stechford"
"155",2011,"","poplar Road","poplar Road"
"156",2011,"","Poplar Road","Poplar Road"
"157",2011,"","poplar Road   solihull"," poplar Road , solihull"
"158",2011,"","poplar Road  solihull"," poplar Road, solihull"
"159",2011,"","Preston Road","Preston Road"
"160",2011,"","Priory Road  Hall Green"," Priory Road, Hall Green"
"161",2011,"","prospect Road","prospect Road"
"162",2011,"","queenswood Road","queenswood Road"
"163",2011,"","rear of boots  high Str."," rear of boots, high Str."
"164",2011,"","REDDINGS LANE  TSYLEY"," REDDINGS LANE, TSYLEY"
"165",2011,"","Richmond Primary Care Centre  Richmond Road  Stechford"," Richmond Primary Care Centre, Richmond Road, Stechford"
"166",2011,"","ring Road  stourbridge"," ring Road, stourbridge"
"167",2011,"","sainsburys  wawrick Road"," sainsburys, wawrick Road"
"168",2011,"","sainsburys  alcester Road south","sainsburys. alcester Road south"
"169",2011,"","Sandford Road Moseley","Sandford Road Moseley"
"170",2011,"","Sarehole Mill","Sarehole Mill"
"171",2011,"","Sedgemere Road","Sedgemere Road"
"172",2011,"","Shirley Road","Shirley Road"
"173",2011,"","SHirley Road","SHirley Road"
"174",2011,"","Snow Hill","Snow Hill"
"175",2011,"","Solihull Lane","Solihull Lane"
"176",2011,"","St Mary s Road  Moseley"," St Mary's Road, Moseley"
"177",2011,"","St Marys Row","St Marys Row"
"178",2011,"","station Road","station Road"
"179",2011,"","Station Way  Birmingham International rail Station"," Station Way, Birmingham International rail Station"
"180",2011,"","Stechford front office","Stechford front office"
"181",2011,"","Stechford P S","Stechford P.S."
"182",2011,"","Stechford Retail Park","Stechford Retail Park."
"183",2011,"","Stonehenge croft Druids heath","Stonehenge croft Druids heath"
"184",2011,"","Stoney Lane","Stoney Lane"
"185",2011,"","Stoney Lane","Stoney Lane"
"186",2011,"","stoney lane","stoney lane"
"187",2011,"","STRATFORD HEATH  SPARK HILL  BIRMINGHAM"," STRATFORD HEATH, SPARK HILL, BIRMINGHAM"
"188",2011,"","stratford Road","stratford Road"
"189",2011,"","Stratford Road","Stratford Road"
"190",2011,"","Stratford Road","Stratford Road"
"191",2011,"","stratford Road  hall green"," stratford Road, hall green"
"192",2011,"","stratford Roads","stratford Roads"
"193",2011,"","Stuart Road  Stechford"," Stuart Road, Stechford"
"194",2011,"","talbort Str.","talbort Str."
"195",2011,"","Taunton Road","Taunton Road"
"196",2011,"","Tavistock Road","Tavistock Road"
"197",2011,"","The avenue","The avenue"
"198",2011,"","The paer tree pub","The paer tree pub"
"199",2011,"","Trafalger Road","Trafalger Road"
"200",2011,"","Wake green Road","Wake green Road"
"201",2011,"","Ward End Road","Ward End Road"
"202",2011,"","Warwick Road","Warwick Road"
"203",2011,"","Warwick Road","Warwick Road"
"204",2011,"","Warwick Road","Warwick Road"
"205",2011,"","Warwick Road","Warwick Road"
"206",2011,"","Warwick Road","Warwick Road"
"207",2011,"","Warwick Road Tysley","Warwick Road Tysley"
"208",2011,"","Wash lane","Wash lane"
"209",2011,"","Washford Heath Road","Washford Heath Road"
"210",2011,"","Washwood Heath pub","Washwood Heath pub"
"211",2011,"","WASHWOOD HEATH RD  WASHWOOD HEATH  BHAM"," WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM"
"212",2011,"","Washwood Heath Road","Washwood Heath Road"
"213",2011,"","Washwood Heath Road","Washwood Heath Road"
"214",2011,"","Washwood Heath Road","Washwood Heath Road"
"215",2011,"","Washwood Heath Road","Washwood Heath Road"
"216",2011,"","Watery Lane Middleway  Birmingham"," Watery Lane Middleway, Birmingham"
"217",2011,"","wawrick Road","wawrick Road"
"218",2011,"","Welshfarm Road  Quinton"," Welshfarm Road, Quinton"
"219",2011,"","Westley Road","Westley Road"
"220",2011,"","Westley Road  Acocks Green"," Westley Road, Acocks Green"
"221",2011,"","White Hart Public House","White Hart Public House"
"222",2011,"","White Hart Public House","White Hart Public House"
"223",2011,"","Whiteheart pub  Gressell Lane"," Whiteheart pub, Gressell Lane"
"224",2011,"","William Hill Bookmakers  Washwood Heath Road"," William Hill Bookmakers, Washwood Heath Road"
"225",2011,"","William Hill Bookmakers  Washwood Heath Road"," William Hill Bookmakers, Washwood Heath Road"
"226",2011,"","William Hill Washwood Heath Road","William Hill Washwood Heath Road"
"227",2011,"","Windward Road","Windward Road"
"228",2011,"","Windward Road","Windward Road"
"229",2011,"","Wood End Road  Erdington"," Wood End Road, Erdington"
"230",2011,"","Woodbridge Road  moseley"," Woodbridge Road, moseley"
"231",2011,"","Wright Str.","Wright Str."
"232",2011,"","yardley green Road","yardley green Road"
"233",2011,"","yardley Road acocks green","yardley Road acocks green"
"234",2011,"","Yardley Wood Road","Yardley Wood Road"
"235",2011,"","Yardley Wood Road","Yardley Wood Road"
"236",2011,"","Yew Tree car park","Yew Tree car park"
"237",2011,"","Yew Tree Lane","Yew Tree Lane"
"238",2011,"","Yew Tree public house car park","Yew Tree public house car park."
"239",2011,"","Armada Pub  Slade Road  Erdington  Birmingham"," Armada Pub, Slade Road, Erdington, Birmingham"
"240",2011,"","Armarda Pub   Gravelly Hill"," Armarda Pub,  Gravelly Hill"
"241",2011,"","Armarda Pub  Gravelly Hill"," Armarda Pub, Gravelly Hill"
"242",2011,"","BADGERS BANK ROAD","BADGERS BANK ROAD"
"243",2011,"","Baldmoor Lake Road  Erdington  Birmingham"," Baldmoor Lake Road, Erdington, Birmingham."
"244",2011,"","bandywood Rd  kingstanding"," bandywood Rd, kingstanding"
"245",2011,"","Beckenham Road","Beckenham Road"
"246",2011,"","Beeches Walk","Beeches Walk"
"247",2011,"","BIRMINGHAM RD","BIRMINGHAM RD"
"248",2011,"","BIRMINGHAM RD","BIRMINGHAM RD"
"249",2011,"","Birmingham Rd  SC"," Birmingham Rd, SC"
"250",2011,"","Birmingham Road","Birmingham Road"
